,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
94,24/03/2020,24,3,2020,20,0,Andorra,AD
95,23/03/2020,23,3,2020,25,0,Andorra,AD
96,22/03/2020,22,3,2020,13,0,Andorra,AD
97,21/03/2020,21,3,2020,0,0,Andorra,AD
98,20/03/2020,20,3,2020,22,0,Andorra,AD
99,19/03/2020,19,3,2020,39,0,Andorra,AD
100,18/03/2020,18,3,2020,0,0,Andorra,AD
101,17/03/2020,17,3,2020,9,0,Andorra,AD
102,16/03/2020,16,3,2020,3,0,Andorra,AD
103,14/03/2020,14,3,2020,1,0,Andorra,AD
104,03/03/2020,3,3,2020,1,0,Andorra,AD
105,24/03/2020,24,3,2020,35,0,Argentina,AR
106,23/03/2020,23,3,2020,41,0,Argentina,AR
107,22/03/2020,22,3,2020,67,1,Argentina,AR
108,21/03/2020,21,3,2020,30,0,Argentina,AR
109,20/03/2020,20,3,2020,31,1,Argentina,AR
110,19/03/2020,19,3,2020,18,0,Argentina,AR
111,18/03/2020,18,3,2020,14,0,Argentina,AR
112,17/03/2020,17,3,2020,9,0,Argentina,AR
113,16/03/2020,16,3,2020,11,0,Argentina,AR
114,15/03/2020,15,3,2020,11,0,Argentina,AR
115,14/03/2020,14,3,2020,3,1,Argentina,AR
116,13/03/2020,13,3,2020,12,0,Argentina,AR
117,11/03/2020,11,3,2020,7,0,Argentina,AR
118,09/03/2020,9,3,2020,3,0,Argentina,AR
119,08/03/2020,8,3,2020,1,1,Argentina,AR
120,07/03/2020,7,3,2020,6,0,Argentina,AR
121,06/03/2020,6,3,2020,1,0,Argentina,AR
122,04/03/2020,4,3,2020,1,0,Argentina,AR
123,24/03/2020,24,3,2020,4,0,Armenia,AM
124,23/03/2020,23,3,2020,30,0,Armenia,AM
125,22/03/2020,22,3,2020,24,0,Armenia,AM
126,21/03/2020,21,3,2020,14,0,Armenia,AM
127,20/03/2020,20,3,2020,7,0,Armenia,AM
128,24/03/2020,24,3,2020,0,0,Antigua_and_Barbuda,AG
129,23/03/2020,23,3,2020,0,0,Antigua_and_Barbuda,AG
130,22/03/2020,22,3,2020,0,0,Antigua_and_Barbuda,AG
131,21/03/2020,21,3,2020,0,0,Antigua_and_Barbuda,AG
132,15/03/2020,15,3,2020,1,0,Antigua_and_Barbuda,AG
133,24/03/2020,24,3,2020,87,2,Algeria,DZ
134,23/03/2020,23,3,2020,8,5,Algeria,DZ
135,22/03/2020,22,3,2020,0,0,Algeria,DZ
136,21/03/2020,21,3,2020,12,3,Algeria,DZ
137,20/03/2020,20,3,2020,9,1,Algeria,DZ
138,19/03/2020,19,3,2020,13,1,Algeria,DZ
139,18/03/2020,18,3,2020,0,1,Algeria,DZ
140,17/03/2020,17,3,2020,12,0,Algeria,DZ
141,16/03/2020,16,3,2020,11,2,Algeria,DZ
142,15/03/2020,15,3,2020,11,0,Algeria,DZ
143,14/03/2020,14,3,2020,2,1,Algeria,DZ
144,13/03/2020,13,3,2020,4,1,Algeria,DZ
145,12/03/2020,12,3,2020,0,0,Algeria,DZ
146,09/03/2020,9,3,2020,3,0,Algeria,DZ
147,06/03/2020,6,3,2020,5,0,Algeria,DZ
148,05/03/2020,5,3,2020,7,0,Algeria,DZ
149,04/03/2020,4,3,2020,2,0,Algeria,DZ
150,02/03/2020,2,3,2020,2,0,Algeria,DZ
151,01/03/2020,1,3,2020,0,0,Algeria,DZ
152,29/02/2020,29,2,2020,0,0,Algeria,DZ
153,28/02/2020,28,2,2020,0,0,Algeria,DZ
154,27/02/2020,27,2,2020,0,0,Algeria,DZ
155,26/02/2020,26,2,2020,1,0,Algeria,DZ
156,25/02/2020,25,2,2020,0,0,Algeria,DZ
157,24/02/2020,24,2,2020,0,0,Algeria,DZ
158,23/02/2020,23,2,2020,0,0,Algeria,DZ
159,22/02/2020,22,2,2020,0,0,Algeria,DZ
160,21/02/2020,21,2,2020,0,0,Algeria,DZ
161,20/02/2020,20,2,2020,0,0,Algeria,DZ
162,19/02/2020,19,2,2020,0,0,Algeria,DZ
163,18/02/2020,18,2,2020,0,0,Algeria,DZ
164,17/02/2020,17,2,2020,0,0,Algeria,DZ
165,16/02/2020,16,2,2020,0,0,Algeria,DZ
166,15/02/2020,15,2,2020,0,0,Algeria,DZ
167,14/02/2020,14,2,2020,0,0,Algeria,DZ
168,13/02/2020,13,2,2020,0,0,Algeria,DZ
169,12/02/2020,12,2,2020,0,0,Algeria,DZ
170,11/02/2020,11,2,2020,0,0,Algeria,DZ
171,10/02/2020,10,2,2020,0,0,Algeria,DZ
172,09/02/2020,9,2,2020,0,0,Algeria,DZ
173,08/02/2020,8,2,2020,0,0,Algeria,DZ
174,07/02/2020,7,2,2020,0,0,Algeria,DZ
175,06/02/2020,6,2,2020,0,0,Algeria,DZ
176,05/02/2020,5,2,2020,0,0,Algeria,DZ
177,04/02/2020,4,2,2020,0,0,Algeria,DZ
178,03/02/2020,3,2,2020,0,0,Algeria,DZ
179,02/02/2020,2,2,2020,0,0,Algeria,DZ
180,01/02/2020,1,2,2020,0,0,Algeria,DZ
181,31/01/2020,31,1,2020,0,0,Algeria,DZ
182,30/01/2020,30,1,2020,0,0,Algeria,DZ
183,29/01/2020,29,1,2020,0,0,Algeria,DZ
184,28/01/2020,28,1,2020,0,0,Algeria,DZ
185,27/01/2020,27,1,2020,0,0,Algeria,DZ
186,26/01/2020,26,1,2020,0,0,Algeria,DZ
187,25/01/2020,25,1,2020,0,0,Algeria,DZ
188,24/01/2020,24,1,2020,0,0,Algeria,DZ
189,23/01/2020,23,1,2020,0,0,Algeria,DZ
190,22/01/2020,22,1,2020,0,0,Algeria,DZ
191,21/01/2020,21,1,2020,0,0,Algeria,DZ
192,20/01/2020,20,1,2020,0,0,Algeria,DZ
193,19/01/2020,19,1,2020,0,0,Algeria,DZ
194,18/01/2020,18,1,2020,0,0,Algeria,DZ
195,17/01/2020,17,1,2020,0,0,Algeria,DZ
